공급처,공급처주소,공급처연락처,대표상품코드,상품코드,카테고리,로케이션,상품명,옵션,공급가,판매가,시중가,원가,원가합,공급처상품명,공급처옵션,바코드,정상재고,불량재고,가용재고,입고대기,교환대기,잔대기,송장,접수,상품메모,품절,일시품절,경고수량,위험수량,로케이션이력
두라이트아이엔씨,/,/,00001,S00010,,N-R-10-03,어랏오브 풀업드로즈,[그레이-L],0,0,0,3762,"1,087,218",어랏오브 풀업드로즈,,8809792740079,289 ,0 ,190,0,0,0,99,0,,,,0,0,"N-R-10-03,N-R-10-02,N-R-10-03,N-R-10-01,N-R-10-03,N-R-10-04,N-R-10-01,N-R-10-03,N-R-10-04,N-R-09-04,"
두라이트아이엔씨,/,/,00001,S00008,,N-R-09-03,어랏오브 풀업드로즈,[그레이-M],0,0,0,3762,"1,606,374",어랏오브 풀업드로즈,,8809792740062,427 ,0 ,427,0,0,0,0,0,,,,0,0,"N-R-09-03,N-R-09-02,N-R-10-03,N-R-10-01,N-R-10-03,N-R-10-04,N-R-10-01,N-R-10-03,N-R-10-04,N-R-09-04,"
두라이트아이엔씨,/,/,00001,S00012,,N-R-10-03,어랏오브 풀업드로즈,[그레이-XL],0,0,0,3762,"1,452,132",어랏오브 풀업드로즈,,8809792740086,386 ,0 ,386,0,0,0,0,0,,,,0,0,"N-R-10-03,N-R-10-02,N-R-10-03,N-R-10-01,N-R-10-03,N-R-10-04,N-R-10-01,N-R-10-03,N-R-10-04,N-R-09-04,"
두라이트아이엔씨,/,/,00001,S00016,,N-R-10-04,어랏오브 풀업드로즈,[네이비-L],0,0,0,3762,"428,868",어랏오브 풀업드로즈,,8809792740048,114 ,0 ,-20,0,0,0,131,3,,,,0,0,"N-R-10-04,N-R-10-03,N-R-10-01,N-R-10-03,N-R-10-04,N-R-10-01,N-R-10-03,N-R-10-04,N-R-09-04,"
두라이트아이엔씨,/,/,00001,S00014,,N-R-09-04,어랏오브 풀업드로즈,[네이비-M],0,0,0,3762,"1,899,810",어랏오브 풀업드로즈,,8809792740031,505 ,0 ,505,0,0,0,0,0,,,,0,0,"N-R-09-04,N-R-09-03,N-R-10-03,N-R-10-01,N-R-10-03,N-R-10-04,N-R-10-01,N-R-10-03,N-R-10-04,N-R-09-04,"
두라이트아이엔씨,/,/,00001,S00018,,N-R-10-04,어랏오브 풀업드로즈,[네이비-XL],0,0,0,3762,"2,396,394",어랏오브 풀업드로즈,,8809792740055,637 ,0 ,637,0,0,0,0,0,,,,0,0,"N-R-10-04,N-R-10-03,N-R-10-01,N-R-10-03,N-R-10-04,N-R-10-01,N-R-10-03,N-R-10-04,N-R-09-04,"
두라이트아이엔씨,/,/,00001,S00004,,N-R-10-02,어랏오브 풀업드로즈,[블랙-L],0,0,0,3762,"1,459,656",어랏오브 풀업드로즈,,8809792740017,388 ,0 ,134,0,0,0,254,0,,,,0,0,"N-R-10-02,N-R-10-01,N-R-10-03,N-R-10-01,N-R-10-03,N-R-10-04,N-R-10-01,N-R-10-03,N-R-10-04,N-R-09-04,"
두라이트아이엔씨,/,/,00001,S00002,,N-R-09-02,어랏오브 풀업드로즈,[블랙-M],0,0,0,3762,"2,859,120",어랏오브 풀업드로즈,,8809792740000,760 ,0 ,760,0,0,0,0,0,,,,0,0,"N-R-09-02,N-R-09-01,N-R-10-03,N-R-10-01,N-R-10-03,N-R-10-04,N-R-10-01,N-R-10-03,N-R-10-04,N-R-09-04,"
두라이트아이엔씨,/,/,00001,S00006,,N-R-10-02,어랏오브 풀업드로즈,[블랙-XL],0,0,0,3762,"3,671,712",어랏오브 풀업드로즈,,8809792740024,976 ,0 ,976,0,0,0,0,0,,,,0,0,"N-R-10-02,N-R-10-01,N-R-10-03,N-R-10-01,N-R-10-03,N-R-10-04,N-R-10-01,N-R-10-03,N-R-10-04,N-R-09-04,"
두라이트아이엔씨,/,/,,00078,,N-R-09-01,어랏오브 풀업드로즈 핫딜블랙 M,,0,0,0,3762,"583,110",,,00078,155 ,0 ,155,0,0,0,0,0,,,,0,0,"N-R-09-01,"
두라이트아이엔씨,/,/,,00079,,N-R-10-01,어랏오브 풀업드로즈 핫딜블랙 XL,,0,0,0,3762,"1,271,556",,,00079,338 ,0 ,338,0,0,0,0,0,,,,0,0,"N-R-10-01,"
